<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GBPNZD,20170110,215600,1.7403,1.7404,1.7402,1.7403
GBPNZD,20170110,215700,1.7402,1.7402,1.7400,1.7400
GBPNZD,20170110,215800,1.7401,1.7403,1.7400,1.7403
GBPNZD,20170110,215900,1.7401,1.7402,1.7401,1.7402
GBPNZD,20170110,220000,1.7401,1.7403,1.7401,1.7403
GBPNZD,20170110,220100,1.7402,1.7404,1.7402,1.7403
GBPNZD,20170110,220200,1.7404,1.7404,1.7403,1.7403
GBPNZD,20170110,220300,1.7404,1.7405,1.7403,1.7403
GBPNZD,20170110,220400,1.7402,1.7402,1.7402,1.7402
GBPNZD,20170110,220500,1.7402,1.7402,1.7401,1.7401
GBPNZD,20170110,220600,1.7402,1.7403,1.7401,1.7402
GBPNZD,20170110,220700,1.7401,1.7401,1.7401,1.7401
GBPNZD,20170110,220800,1.7401,1.7401,1.7401,1.7401
GBPNZD,20170110,220900,1.7401,1.7401,1.7399,1.7399
GBPNZD,20170110,221000,1.7399,1.7399,1.7399,1.7399
GBPNZD,20170110,221100,1.7398,1.7400,1.7398,1.7400
GBPNZD,20170110,221200,1.7399,1.7404,1.7399,1.7403
GBPNZD,20170110,221300,1.7404,1.7404,1.7404,1.7404
GBPNZD,20170110,221400,1.7404,1.7405,1.7403,1.7403
GBPNZD,20170110,221500,1.7404,1.7406,1.7404,1.7406
GBPNZD,20170110,221600,1.7407,1.7407,1.7403,1.7406
GBPNZD,20170110,221700,1.7406,1.7406,1.7406,1.7406
GBPNZD,20170110,221800,1.7407,1.7407,1.7406,1.7406
GBPNZD,20170110,221900,1.7406,1.7407,1.7406,1.7406
GBPNZD,20170110,222000,1.7407,1.7407,1.7406,1.7406
GBPNZD,20170110,222100,1.7407,1.7407,1.7406,1.7406
GBPNZD,20170110,222200,1.7407,1.7407,1.7406,1.7407
GBPNZD,20170110,222300,1.7406,1.7407,1.7406,1.7406
GBPNZD,20170110,222400,1.7405,1.7405,1.7404,1.7404
GBPNZD,20170110,222500,1.7405,1.7405,1.7405,1.7405
GBPNZD,20170110,222600,1.7405,1.7405,1.7405,1.7405
GBPNZD,20170110,222700,1.7405,1.7406,1.7402,1.7406
GBPNZD,20170110,222800,1.7405,1.7405,1.7404,1.7404
GBPNZD,20170110,222900,1.7403,1.7403,1.7399,1.7399
GBPNZD,20170110,223000,1.7398,1.7398,1.7396,1.7396
GBPNZD,20170110,223100,1.7396,1.7396,1.7396,1.7396
GBPNZD,20170110,223200,1.7395,1.7398,1.7392,1.7397
